Player,WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT,YDS,AVG,TD,FUM,LOST
Geno Smith,6,49ers,L 24 - 36,30,52,312,6,1,2,1,6,65.5,1,0,0,0,0
Geno Smith,7,@Falcons,W 34 - 14,18,28,207,7.4,2,0,1,6,110.3,4,15,3.8,0,1,0
Geno Smith,8,Bills,L 10 - 31,21,29,212,7.3,0,1,1,11,78.5,5,16,3.2,0,1,0
Geno Smith,9,Rams,L 20 - 26,21,34,363,10.7,3,3,7,46,90.7,6,16,2.7,0,1,0
Geno Smith,11,@49ers,W 20 - 17,25,32,221,6.9,0,1,4,26,82.4,4,29,7.2,1,1,0
Geno Smith,12,Cardinals,W 16 - 6,22,31,254,8.2,1,1,5,34,92.7,3,2,0.7,0,1,0
Geno Smith,13,@Jets,W 26 - 21,20,31,206,6.6,1,0,3,31,94.3,2,2,1,0,0
Geno Smith,14,@Cardinals,W 30 - 18,24,30,233,7.8,1,0,0,0,110.1,1,0,0,0,1,0
Geno Smith,15,Packers,L 13 - 30,15,19,149,7.8,0,1,3,24,77.4,1,5,5,0,0
Geno Smith,16,Vikings,L 24 - 27,31,43,314,7.3,3,2,2,12,96.5,1,8,8,0,0
Geno Smith,17,@Bears,W 6 - 3,17,23,160,7,0,0,3,17,92.7,3,19,6.3,0,2,0
Geno Smith,18,@Rams,W 30 - 25,20,27,223,8.3,4,0,2,13,137.8,2,14,7,0,0
Sam Darnold,1,@Giants,W 28 - 6,19,24,208,8.7,2,1,1,7,113.2,3,3,1,0,0
Sam Darnold,2,49ers,W 23 - 17,17,26,268,10.3,2,1,3,10,109.1,5,32,6.4,0,2,0
Sam Darnold,3,Texans,W 34 - 7,17,28,181,6.5,4,0,4,25,119.2,1,0,0,0,0
Sam Darnold,4,@Packers,W 31 - 29,20,28,275,9.8,3,1,2,21,123.4,7,15,2.1,0,1,1
Sam Darnold,5,Jets,W 23 - 17,14,31,179,5.8,0,1,4,32,50.3,5,11,2.2,0,1,1
Sam Darnold,7,Lions,L 29 - 31,22,27,259,9.6,1,1,4,15,103.6,4,39,9.8,0,0
Sam Darnold,8,@Rams,L 20 - 30,18,25,240,9.6,2,0,3,28,128.8,3,6,2,0,0
Sam Darnold,9,Colts,W 21 - 13,28,34,290,8.5,3,2,4,30,107.1,4,14,3.5,0,1,1
Sam Darnold,10,@Jaguars,W 12 - 7,24,38,241,6.3,0,3,1,8,48.2,7,28,4,0,0
Sam Darnold,11,@Titans,W 23 - 13,20,32,246,7.7,2,0,2,10,107,8,18,2.2,1,1,1
Sam Darnold,12,@Bears,W 30 - 27,22,34,330,9.7,2,0,3,16,116,2,-1,-0.5,0,0
Sam Darnold,13,Cardinals,W 23 - 22,21,31,235,7.6,2,0,5,30,111.6,4,22,5.5,0,0
Sam Darnold,14,Falcons,W 42 - 21,22,28,347,12.4,5,0,4,29,157.9,4,7,1.8,0,0
Sam Darnold,15,Bears,W 30 - 12,24,40,231,5.8,1,1,2,16,74.1,0,0,0,0,0
Sam Darnold,16,@Seahawks,W 27 - 24,22,35,246,7,3,0,3,29,112.3,5,11,2.2,0,1,0
Sam Darnold,17,Packers,W 27 - 25,33,43,377,8.8,3,1,1,5,116.1,3,-3,-1,0,0
Sam Darnold,18,@Lions,L 9 - 31,18,41,166,4,0,0,2,24,55.5,3,10,3.3,0,0
Lamar Jackson,1,@Chiefs,L 20 - 27,26,41,273,6.7,1,0,1,6,90.8,16,122,7.6,0,1,1
Lamar Jackson,2,Raiders,L 23 - 26,21,34,247,7.3,1,1,2,15,81.4,5,45,9,0,0
Lamar Jackson,3,@Cowboys,W 28 - 25,12,15,182,12.1,1,0,0,0,139.4,14,87,6.2,1,0
Lamar Jackson,4,Bills,W 35 - 10,13,18,156,8.7,2,0,1,1,135.4,6,54,9,1,1,1
Lamar Jackson,5,@Bengals,W 41 - 38,26,42,348,8.3,4,0,1,3,119.9,12,55,4.6,0,2,1
Lamar Jackson,6,Commanders,W 30 - 23,20,26,323,12.4,1,1,2,15,114.7,11,40,3.6,0,0,0
Lamar Jackson,7,@Buccaneers,W 41 - 31,17,22,281,12.8,5,0,2,17,158.1,9,52,5.8,0,1,1
Lamar Jackson,8,@Browns,L 24 - 29,23,38,289,7.6,2,0,3,26,101.8,8,46,5.8,0,0
Lamar Jackson,9,Broncos,W 41 - 10,16,19,280,14.7,3,0,1,11,158.3,3,4,1.3,0,1,0
Lamar Jackson,10,Bengals,W 35 - 34,25,33,290,8.8,4,0,0,0,141.4,7,33,4.7,0,0
Lamar Jackson,11,@Steelers,L 16 - 18,16,33,207,6.3,1,1,2,2,66.1,4,46,11.5,0,0
Lamar Jackson,12,@Chargers,W 30 - 23,16,22,177,8,2,0,1,0,126.5,8,15,1.9,1,0
Lamar Jackson,13,Eagles,L 19 - 24,23,36,237,6.6,2,0,3,31,101.3,8,79,9.9,0,2,0
Lamar Jackson,15,@Giants,W 35 - 14,21,25,290,11.6,5,0,2,10,154.6,6,65,10.8,0,1,1
Lamar Jackson,16,Steelers,W 34 - 17,15,23,207,9,3,1,1,9,115.4,9,22,2.4,0,1,0
Lamar Jackson,17,@Texans,W 31 - 2,10,15,168,11.2,2,0,1,3,143.9,4,87,21.8,1,0
Lamar Jackson,18,Browns,W 35 - 10,16,32,217,6.8,2,0,0,0,92.8,9,63,7,0,0
Patrick Mahomes,1,Ravens,W 27 - 20,20,28,291,10.4,1,1,2,10,101.9,2,3,1.5,0
Patrick Mahomes,2,Bengals,W 26 - 25,18,25,151,6,2,2,2,14,80.6,4,29,7.2,0
Patrick Mahomes,3,@Falcons,W 22 - 17,26,39,217,5.6,2,1,0,0,87.2,6,17,2.8,0
Patrick Mahomes,4,@Chargers,W 17 - 10,19,29,245,8.4,1,1,3,17,89,5,12,2.4,0
Patrick Mahomes,5,Saints,W 26 - 13,28,39,331,8.5,0,1,2,10,86.6,6,22,3.7,0
Patrick Mahomes,7,@49ers,W 28 - 18,16,27,154,5.7,0,2,2,9,44.4,5,39,7.8,1
Patrick Mahomes,8,@Raiders,W 27 - 20,27,38,262,6.9,2,1,1,10,96.6,6,17,2.8,0
Patrick Mahomes,9,Buccaneers,W 30 - 24,34,44,291,6.6,3,0,4,31,116.8,2,9,4.5,0
Patrick Mahomes,10,Broncos,W 16 - 14,28,42,266,6.3,1,0,4,23,92,3,19,6.3,0
Patrick Mahomes,11,@Bills,L 21 - 30,23,33,196,5.9,3,2,2,15,90,,,
Patrick Mahomes,12,@Panthers,W 30 - 27,27,37,269,7.3,3,0,5,43,120.2,5,60,12,0,1,0
Patrick Mahomes,13,Raiders,W 19 - 17,26,46,306,6.6,1,0,5,40,84.2,2,4,2,0,1,0
